aluno,materia,turma,serie_num,n1_norm,n2_norm,n3_norm,n4_norm,media_pond_norm,media_geral_aluno,slope_notas,variancia_notas,serie_num_norm,pct_materias_ok,media_turma_norm,status_encoded,status_label
Juliana Azevedo,Educação Física,6º Fundamental,6,0.27,0.72,0.49,0.96,0.6445,0.5786,0.552,0.5144,0.0,0.3846,0.6015,2,Aprovado
Juliana Azevedo,Filosofia,6º Fundamental,6,0.42,0.68,0.68,0.36,0.532,0.5786,-0.054,0.2931,0.0,0.3846,0.583,1,Recuperação
Juliana Azevedo,Física,6º Fundamental,6,0.53,0.79,0.61,0.42,0.582,0.5786,-0.153,0.27,0.0,0.3846,0.5865,1,Recuperação
Juliana Azevedo,Geografia,6º Fundamental,6,0.42,0.22,0.41,0.69,0.4485,0.5786,0.3,0.3348,0.0,0.3846,0.5968,0,Reprovado
Juliana Azevedo,História,6º Fundamental,6,0.94,0.83,0.8,0.4,0.7155,0.5786,-0.495,0.409,0.0,0.3846,0.5977,2,Aprovado
Juliana Azevedo,Inglês,6º Fundamental,6,0.47,0.93,0.81,0.46,0.667,0.5786,-0.045,0.4139,0.0,0.3846,0.596,2,Aprovado
Juliana Azevedo,Matemática,6º Fundamental,6,0.68,0.98,0.43,0.24,0.5605,0.5786,-0.561,0.555,0.0,0.3846,0.6087,1,Recuperação
Juliana Azevedo,Português,6º Fundamental,6,0.86,0.8,0.3,0.33,0.546,0.5786,-0.627,0.5172,0.0,0.3846,0.6029,1,Recuperação
Juliana Azevedo,Química,6º Fundamental,6,0.24,0.76,0.75,0.82,0.6715,0.5786,0.519,0.4678,0.0,0.3846,0.5967,2,Aprovado
Juliana Azevedo,Sociologia,6º Fundamental,6,0.26,0.57,0.88,0.75,0.6395,0.5786,0.534,0.4653,0.0,0.3846,0.6002,2,Aprovado
Juliana Moreira,Arte,6º Fundamental,6,0.57,0.55,0.3,0.33,0.4255,0.5628,-0.291,0.2463,0.0,0.2308,0.587,0,Reprovado
Juliana Moreira,Biologia,6º Fundamental,6,0.79,0.9,0.92,0.74,0.835,0.5628,-0.039,0.1499,0.0,0.2308,0.5936,2,Aprovado
Juliana Moreira,Ciências,6º Fundamental,6,0.35,0.73,0.25,0.61,0.498,0.5628,0.09,0.3861,0.0,0.2308,0.5889,0,Reprovado
Juliana Moreira,Educação Física,6º Fundamental,6,0.67,0.27,0.32,0.62,0.4675,0.5628,-0.03,0.3536,0.0,0.2308,0.6015,0,Reprovado
Juliana Moreira,Filosofia,6º Fundamental,6,0.45,0.69,0.21,0.75,0.54,0.5628,0.126,0.4274,0.0,0.2308,0.583,1,Recuperação
Juliana Moreira,Física,6º Fundamental,6,0.33,0.59,0.76,0.61,0.5865,0.5628,0.303,0.3093,0.0,0.2308,0.5865,1,Recuperação
Juliana Moreira,Geografia,6º Fundamental,6,0.48,0.97,0.6,0.21,0.5515,0.5628,-0.354,0.5464,0.0,0.2308,0.5968,1,Recuperação
Juliana Moreira,História,6º Fundamental,6,0.5,0.92,0.56,0.3,0.56,0.5628,-0.288,0.4477,0.0,0.2308,0.5977,1,Recuperação
Juliana Moreira,Inglês,6º Fundamental,6,0.88,0.42,0.24,0.87,0.602,0.5628,-0.063,0.5597,0.0,0.2308,0.596,2,Aprovado
Juliana Moreira,Matemática,6º Fundamental,6,0.4,0.55,0.29,0.88,0.554,0.5628,0.354,0.4443,0.0,0.2308,0.6087,1,Recuperação
Juliana Moreira,Português,6º Fundamental,6,0.86,0.61,0.46,0.43,0.5685,0.5628,-0.432,0.3403,0.0,0.2308,0.6029,1,Recuperação
Juliana Moreira,Química,6º Fundamental,6,0.71,0.74,0.24,0.38,0.501,0.5628,-0.447,0.4272,0.0,0.2308,0.5967,1,Recuperação
Juliana Moreira,Sociologia,6º Fundamental,6,0.73,0.76,0.61,0.46,0.6265,0.5628,-0.288,0.2362,0.0,0.2308,0.6002,2,Aprovado
Juliana Oliveira,Arte,6º Fundamental,6,0.36,0.7,0.93,0.67,0.6805,0.6558,0.348,0.4056,0.0,0.7692,0.587,2,Aprovado
Juliana Oliveira,Biologia,6º Fundamental,6,0.38,0.63,0.89,0.61,0.639,0.6558,0.285,0.3612,0.0,0.7692,0.5936,2,Aprovado
Juliana Oliveira,Ciências,6º Fundamental,6,0.64,0.8,0.78,0.96,0.811,0.6558,0.282,0.2269,0.0,0.7692,0.5889,2,Aprovado
Juliana Oliveira,Educação Física,6º Fundamental,6,0.35,1.0,0.91,0.38,0.6615,0.6558,0.0,0.5938,0.0,0.7692,0.6015,2,Aprovado
Juliana Oliveira,Filosofia,6º Fundamental,6,0.79,0.75,0.32,0.95,0.7105,0.6558,0.015,0.4663,0.0,0.7692,0.583,2,Aprovado
Juliana Oliveira,Física,6º Fundamental,6,0.23,0.39,0.72,0.64,0.5155,0.6558,0.468,0.391,0.0,0.7692,0.5865,1,Recuperação
Juliana Oliveira,Geografia,6º Fundamental,6,0.92,0.59,0.94,0.55,0.7315,0.6558,-0.228,0.3614,0.0,0.7692,0.5968,2,Aprovado
Juliana Oliveira,História,6º Fundamental,6,0.66,0.71,0.24,0.89,0.6365,0.6558,0.066,0.4763,0.0,0.7692,0.5977,2,Aprovado
Juliana Oliveira,Inglês,6º Fundamental,6,0.69,0.5,0.94,0.75,0.723,0.6558,0.186,0.314,0.0,0.7692,0.596,2,Aprovado
Juliana Oliveira,Matemática,6º Fundamental,6,0.43,0.78,0.57,0.99,0.7205,0.6558,0.441,0.4244,0.0,0.7692,0.6087,2,Aprovado
Juliana Oliveira,Português,6º Fundamental,6,0.32,0.75,0.43,0.5,0.509,0.6558,0.066,0.3159,0.0,0.7692,0.6029,1,Recuperação
Juliana Oliveira,Química,6º Fundamental,6,0.67,0.99,0.67,0.35,0.654,0.6558,-0.384,0.4525,0.0,0.7692,0.5967,2,Aprovado
Juliana Oliveira,Sociologia,6º Fundamental,6,0.31,0.37,0.59,0.77,0.533,0.6558,0.48,0.3655,0.0,0.7692,0.6002,1,Recuperação
Juliana Pereira,Arte,6º Fundamental,6,0.95,0.22,0.61,0.9,0.6675,0.5716,0.072,0.5809,0.0,0.5385,0.587,2,Aprovado
Juliana Pereira,Biologia,6º Fundamental,6,0.93,0.86,0.41,0.95,0.7885,0.5716,-0.117,0.441,0.0,0.5385,0.5936,2,Aprovado
Juliana Pereira,Ciências,6º Fundamental,6,0.6,0.25,0.35,0.25,0.345,0.5716,-0.285,0.2861,0.0,0.5385,0.5889,0,Reprovado
Juliana Pereira,Educação Física,6º Fundamental,6,0.46,0.98,1.0,0.22,0.653,0.5716,-0.21,0.6719,0.0,0.5385,0.6015,2,Aprovado
Juliana Pereira,Filosofia,6º Fundamental,6,0.26,0.37,0.67,0.41,0.435,0.5716,0.225,0.3008,0.0,0.5385,0.583,0,Reprovado
Juliana Pereira,Física,6º Fundamental,6,1.0,0.93,0.77,0.2,0.685,0.5716,-0.768,0.6287,0.0,0.5385,0.5865,2,Aprovado
Juliana Pereira,Geografia,6º Fundamental,6,0.5,0.33,0.65,0.25,0.42,0.5716,-0.129,0.3093,0.0,0.5385,0.5968,0,Reprovado
Juliana Pereira,História,6º Fundamental,6,0.47,0.85,0.27,0.89,0.641,0.5716,0.204,0.5204,0.0,0.5385,0.5977,2,Aprovado
Juliana Pereira,Inglês,6º Fundamental,6,0.52,0.78,0.69,0.52,0.6275,0.5716,-0.027,0.2242,0.0,0.5385,0.596,2,Aprovado
Juliana Pereira,Matemática,6º Fundamental,6,0.2,0.41,0.82,0.78,0.5815,0.5716,0.645,0.5176,0.0,0.5385,0.6087,1,Recuperação
Juliana Pereira,Português,6º Fundamental,6,0.54,0.24,0.54,0.45,0.438,0.5716,0.009,0.2451,0.0,0.5385,0.6029,0,Reprovado
Juliana Pereira,Química,6º Fundamental,6,0.32,0.74,0.96,0.6,0.669,0.5716,0.318,0.4642,0.0,0.5385,0.5967,2,Aprovado
Juliana Pereira,Sociologia,6º Fundamental,6,0.8,0.73,0.26,0.24,0.4795,0.5716,-0.645,0.5176,0.0,0.5385,0.6002,0,Reprovado
Juliana Ribeiro,Arte,6º Fundamental,6,0.2,0.27,0.24,0.4,0.2875,0.6278,0.171,0.1499,0.0,0.6154,0.587,0,Reprovado
Juliana Ribeiro,Biologia,6º Fundamental,6,0.95,0.76,0.85,0.5,0.7425,0.6278,-0.378,0.3342,0.0,0.6154,0.5936,2,Aprovado
Juliana Ribeiro,Ciências,6º Fundamental,6,0.36,0.32,0.89,0.56,0.5425,0.6278,0.351,0.4511,0.0,0.6154,0.5889,1,Recuperação
Juliana Ribeiro,Educação Física,6º Fundamental,6,0.83,0.4,0.45,0.61,0.5615,0.6278,-0.183,0.3354,0.0,0.6154,0.6015,1,Recuperação
Juliana Ribeiro,Filosofia,6º Fundamental,6,0.5,0.89,0.69,0.49,0.642,0.6278,-0.069,0.3272,0.0,0.6154,0.583,2,Aprovado
Juliana Ribeiro,Física,6º Fundamental,6,0.72,0.59,0.78,0.65,0.6815,0.6278,-0.006,0.1432,0.0,0.6154,0.5865,2,Aprovado
Juliana Ribeiro,Geografia,6º Fundamental,6,0.4,0.92,0.53,0.43,0.5715,0.6278,-0.09,0.4155,0.0,0.6154,0.5968,1,Recuperação
Juliana Ribeiro,História,6º Fundamental,6,0.8,0.46,0.67,0.91,0.7155,0.6278,0.162,0.335,0.0,0.6154,0.5977,2,Aprovado
Juliana Ribeiro,Inglês,6º Fundamental,6,0.83,0.76,0.66,0.8,0.761,0.6278,-0.057,0.1284,0.0,0.6154,0.596,2,Aprovado
Juliana Ribeiro,Matemática,6º Fundamental,6,0.29,0.8,0.95,0.22,0.5615,0.6278,-0.018,0.631,0.0,0.6154,0.6087,1,Recuperação
Juliana Ribeiro,Português,6º Fundamental,6,0.95,0.76,0.99,0.41,0.7505,0.6278,-0.417,0.4586,0.0,0.6154,0.6029,2,Aprovado
Juliana Ribeiro,Química,6º Fundamental,6,0.96,0.83,0.39,0.6,0.677,0.6278,-0.456,0.4365,0.0,0.6154,0.5967,2,Aprovado
Juliana Ribeiro,Sociologia,6º Fundamental,6,0.49,0.88,0.87,0.44,0.6675,0.6278,-0.048,0.4116,0.0,0.6154,0.6002,2,Aprovado
Karina Barbosa,Arte,6º Fundamental,6,0.43,0.49,0.62,0.56,0.5315,0.5431,0.156,0.1432,0.0,0.1538,0.587,1,Recuperação
Karina Barbosa,Biologia,6º Fundamental,6,0.47,0.74,0.24,0.6,0.519,0.5431,-0.033,0.3681,0.0,0.1538,0.5936,1,Recuperação
Karina Barbosa,Ciências,6º Fundamental,6,0.39,0.33,0.31,0.96,0.526,0.5431,0.507,0.5373,0.0,0.1538,0.5889,1,Recuperação
Karina Barbosa,Educação Física,6º Fundamental,6,0.55,0.51,0.53,0.58,0.544,0.5431,0.033,0.0517,0.0,0.1538,0.6015,1,Recuperação
Karina Barbosa,Filosofia,6º Fundamental,6,0.6,0.38,0.58,0.7,0.57,0.5431,0.15,0.2322,0.0,0.1538,0.583,1,Recuperação
Karina Barbosa,Física,6º Fundamental,6,0.84,0.59,0.98,0.38,0.6745,0.5431,-0.297,0.461,0.0,0.1538,0.5865,2,Aprovado
Karina Barbosa,Geografia,6º Fundamental,6,0.82,0.44,0.36,0.33,0.463,0.5431,-0.465,0.3923,0.0,0.1538,0.5968,0,Reprovado
Karina Barbosa,História,6º Fundamental,6,0.28,1.0,0.52,0.34,0.538,0.5431,-0.09,0.5652,0.0,0.1538,0.5977,1,Recuperação
Karina Barbosa,Inglês,6º Fundamental,6,0.78,0.43,0.75,0.31,0.544,0.5431,-0.327,0.4046,0.0,0.1538,0.596,1,Recuperação
Karina Barbosa,Matemática,6º Fundamental,6,0.29,0.72,0.33,0.34,0.4225,0.5431,-0.072,0.3484,0.0,0.1538,0.6087,0,Reprovado
Karina Barbosa,Português,6º Fundamental,6,0.48,0.38,0.36,0.33,0.38,0.5431,-0.141,0.1126,0.0,0.1538,0.6029,0,Reprovado
Karina Barbosa,Química,6º Fundamental,6,0.49,0.45,0.49,0.72,0.549,0.5431,0.219,0.2132,0.0,0.1538,0.5967,1,Recuperação
Karina Barbosa,Sociologia,6º Fundamental,6,0.7,0.63,0.95,0.88,0.799,0.5431,0.258,0.2596,0.0,0.1538,0.6002,2,Aprovado
Karina Costa,Arte,6º Fundamental,6,0.31,0.37,0.58,0.93,0.5785,0.5492,0.621,0.4851,0.0,0.3077,0.587,1,Recuperação
Karina Costa,Biologia,6º Fundamental,6,0.93,0.94,0.73,0.29,0.6905,0.5492,-0.639,0.5268,0.0,0.3077,0.5936,2,Aprovado
Karina Costa,Ciências,6º Fundamental,6,0.32,0.51,0.7,0.2,0.4265,0.5492,-0.051,0.3798,0.0,0.3077,0.5889,0,Reprovado
Karina Costa,Educação Física,6º Fundamental,6,0.72,0.29,0.93,0.6,0.629,0.5492,0.084,0.4631,0.0,0.3077,0.6015,2,Aprovado
Karina Costa,Filosofia,6º Fundamental,6,0.91,0.8,0.44,0.82,0.738,0.5492,-0.189,0.359,0.0,0.3077,0.583,2,Aprovado
Karina Costa,Física,6º Fundamental,6,0.32,0.47,0.44,0.54,0.4535,0.5492,0.189,0.159,0.0,0.3077,0.5865,0,Reprovado
Karina Costa,Geografia,6º Fundamental,6,0.29,0.53,0.52,0.53,0.4795,0.5492,0.213,0.2051,0.0,0.3077,0.5968,0,Reprovado
Karina Costa,História,6º Fundamental,6,0.42,0.76,0.22,0.27,0.41,0.5492,-0.297,0.422,0.0,0.3077,0.5977,0,Reprovado
Karina Costa,Inglês,6º Fundamental,6,0.55,0.68,0.61,0.62,0.6185,0.5492,0.042,0.0922,0.0,0.3077,0.596,2,Aprovado
Karina Costa,Matemática,6º Fundamental,6,0.65,0.41,0.85,0.36,0.553,0.5492,-0.129,0.393,0.0,0.3077,0.6087,1,Recuperação
Karina Costa,Português,6º Fundamental,6,0.4,0.7,0.69,0.52,0.5835,0.5492,0.105,0.2499,0.0,0.3077,0.6029,1,Recuperação
Karina Costa,Química,6º Fundamental,6,0.38,0.77,0.28,0.72,0.5545,0.5492,0.159,0.4225,0.0,0.3077,0.5967,1,Recuperação
Karina Costa,Sociologia,6º Fundamental,6,0.5,0.27,0.26,0.64,0.4245,0.5492,0.123,0.3207,0.0,0.3077,0.6002,0,Reprovado
Karina Gomes,Arte,6º Fundamental,6,0.59,0.67,0.94,0.29,0.6075,0.5942,-0.189,0.4633,0.0,0.6154,0.587,2,Aprovado
Karina Gomes,Biologia,6º Fundamental,6,0.79,0.66,0.92,0.43,0.682,0.5942,-0.246,0.3619,0.0,0.6154,0.5936,2,Aprovado
Karina Gomes,Ciências,6º Fundamental,6,0.34,0.47,0.91,0.66,0.611,0.5942,0.42,0.4291,0.0,0.6154,0.5889,2,Aprovado
Karina Gomes,Educação Física,6º Fundamental,6,0.83,0.28,0.67,0.81,0.6465,0.5942,0.099,0.4419,0.0,0.6154,0.6015,2,Aprovado
Karina Gomes,Filosofia,6º Fundamental,6,0.84,0.26,0.2,0.57,0.454,0.5942,-0.261,0.5137,0.0,0.6154,0.583,0,Reprovado
Karina Gomes,Física,6º Fundamental,6,0.6,0.63,0.85,0.82,0.736,0.5942,0.264,0.222,0.0,0.6154,0.5865,2,Aprovado
Karina Gomes,Geografia,6º Fundamental,6,0.59,0.9,0.85,0.81,0.7985,0.5942,0.183,0.2368,0.0,0.6154,0.5968,2,Aprovado
Karina Gomes,História,6º Fundamental,6,0.7,0.67,0.73,0.23,0.559,0.5942,-0.405,0.4092,0.0,0.6154,0.5977,1,Recuperação
Karina Gomes,Inglês,6º Fundamental,6,0.81,0.78,0.41,0.51,0.6125,0.5942,-0.381,0.343,0.0,0.6154,0.596,2,Aprovado
Karina Gomes,Matemática,6º Fundamental,6,0.55,0.83,0.73,0.44,0.632,0.5942,-0.129,0.3038,0.0,0.6154,0.6087,2,Aprovado
Karina Gomes,Português,6º Fundamental,6,0.56,0.25,0.37,0.41,0.39,0.5942,-0.099,0.2215,0.0,0.6154,0.6029,0,Reprovado
Karina Gomes,Química,6º Fundamental,6,0.23,0.36,0.5,0.98,0.555,0.5942,0.717,0.5672,0.0,0.6154,0.5967,1,Recuperação
Karina Gomes,Sociologia,6º Fundamental,6,0.6,0.45,0.39,0.37,0.441,0.5942,-0.225,0.1802,0.0,0.6154,0.6002,0,Reprovado
Karina Lima,Arte,6º Fundamental,6,0.34,0.28,0.86,0.67,0.554,0.581,0.471,0.4763,0.0,0.3077,0.587,1,Recuperação
Karina Lima,Biologia,6º Fundamental,6,0.51,0.2,0.3,0.81,0.47,0.581,0.3,0.467,0.0,0.3077,0.5936,0,Reprovado
Karina Lima,Ciências,6º Fundamental,6,0.44,0.48,0.83,0.73,0.6345,0.581,0.366,0.3289,0.0,0.3077,0.5889,2,Aprovado
Karina Lima,Educação Física,6º Fundamental,6,0.41,0.63,0.48,0.52,0.5155,0.581,0.054,0.1594,0.0,0.3077,0.6015,1,Recuperação
Karina Lima,Filosofia,6º Fundamental,6,0.76,0.33,0.62,0.39,0.5065,0.581,-0.246,0.3471,0.0,0.3077,0.583,1,Recuperação
Karina Lima,Física,6º Fundamental,6,0.7,0.52,0.43,0.45,0.5125,0.581,-0.252,0.2128,0.0,0.3077,0.5865,1,Recuperação
Karina Lima,Geografia,6º Fundamental,6,0.58,0.81,0.98,0.28,0.6475,0.581,-0.219,0.525,0.0,0.3077,0.5968,2,Aprovado
Karina Lima,História,6º Fundamental,6,0.63,0.22,0.57,0.77,0.5545,0.581,0.231,0.4051,0.0,0.3077,0.5977,1,Recuperação
Karina Lima,Inglês,6º Fundamental,6,0.62,0.5,0.42,0.8,0.594,0.581,0.138,0.2862,0.0,0.3077,0.596,1,Recuperação
Karina Lima,Matemática,6º Fundamental,6,0.53,0.41,0.34,0.83,0.5425,0.581,0.249,0.3748,0.0,0.3077,0.6087,1,Recuperação
Karina Lima,Português,6º Fundamental,6,0.55,0.91,0.71,0.25,0.59,0.581,-0.33,0.4828,0.0,0.3077,0.6029,1,Recuperação
Karina Lima,Química,6º Fundamental,6,0.92,0.22,0.96,0.96,0.767,0.581,0.258,0.6302,0.0,0.3077,0.5967,2,Aprovado
Karina Lima,Sociologia,6º Fundamental,6,0.79,0.71,0.91,0.34,0.665,0.581,-0.345,0.4258,0.0,0.3077,0.6002,2,Aprovado
Karina Pereira,Arte,6º Fundamental,6,0.78,0.83,0.65,0.42,0.652,0.6109,-0.378,0.3172,0.0,0.4615,0.587,2,Aprovado
Karina Pereira,Biologia,6º Fundamental,6,0.54,0.54,0.7,0.82,0.664,0.6109,0.3,0.2358,0.0,0.4615,0.5936,2,Aprovado
Karina Pereira,Ciências,6º Fundamental,6,0.26,0.27,0.51,0.38,0.361,0.6109,0.18,0.2022,0.0,0.4615,0.5889,0,Reprovado
Karina Pereira,Educação Física,6º Fundamental,6,0.91,0.36,0.61,0.98,0.7185,0.6109,0.138,0.4953,0.0,0.4615,0.6015,2,Aprovado
Karina Pereira,Filosofia,6º Fundamental,6,0.74,0.99,0.54,0.6,0.7105,0.6109,-0.261,0.3465,0.0,0.4615,0.583,2,Aprovado
Karina Pereira,Física,6º Fundamental,6,0.78,0.23,0.24,0.6,0.4535,0.6109,-0.159,0.4725,0.0,0.4615,0.5865,0,Reprovado
Karina Pereira,Geografia,6º Fundamental,6,0.55,0.55,0.78,0.27,0.5235,0.6109,-0.183,0.3615,0.0,0.4615,0.5968,1,Recuperação
Karina Pereira,História,6º Fundamental,6,0.26,0.62,0.71,0.48,0.5285,0.6109,0.225,0.3395,0.0,0.4615,0.5977,1,Recuperação
Karina Pereira,Inglês,6º Fundamental,6,0.74,1.0,0.77,0.86,0.8485,0.6109,0.039,0.2022,0.0,0.4615,0.596,2,Aprovado
Karina Pereira,Matemática,6º Fundamental,6,0.74,0.45,0.79,0.44,0.59,0.6109,-0.168,0.322,0.0,0.4615,0.6087,1,Recuperação
Karina Pereira,Português,6º Fundamental,6,0.41,0.44,0.91,0.48,0.5635,0.6109,0.204,0.4072,0.0,0.4615,0.6029,1,Recuperação
Karina Pereira,Química,6º Fundamental,6,0.55,0.87,0.47,0.4,0.565,0.6109,-0.255,0.3595,0.0,0.4615,0.5967,1,Recuperação
Karina Pereira,Sociologia,6º Fundamental,6,0.97,0.7,0.81,0.64,0.7635,0.6109,-0.264,0.251,0.0,0.4615,0.6002,2,Aprovado
Karina Santos,Arte,6º Fundamental,6,0.31,0.95,0.49,0.87,0.683,0.6303,0.366,0.5287,0.0,0.7692,0.587,2,Aprovado
Karina Santos,Biologia,6º Fundamental,6,0.31,0.9,0.92,0.65,0.712,0.6303,0.312,0.4928,0.0,0.7692,0.5936,2,Aprovado
Karina Santos,Ciências,6º Fundamental,6,0.38,0.33,0.84,0.79,0.6055,0.6303,0.522,0.4627,0.0,0.7692,0.5889,2,Aprovado
Karina Santos,Educação Física,6º Fundamental,6,0.92,0.49,0.44,0.49,0.5635,0.6303,-0.402,0.389,0.0,0.7692,0.6015,1,Recuperação
Karina Santos,Filosofia,6º Fundamental,6,0.47,0.88,0.22,0.91,0.642,0.6303,0.198,0.5781,0.0,0.7692,0.583,2,Aprovado
Karina Santos,Física,6º Fundamental,6,0.81,0.6,0.42,0.8,0.657,0.6303,-0.063,0.3214,0.0,0.7692,0.5865,2,Aprovado
Karina Santos,Geografia,6º Fundamental,6,0.51,0.44,0.67,0.38,0.4935,0.6303,-0.048,0.2168,0.0,0.7692,0.5968,0,Reprovado
Karina Santos,História,6º Fundamental,6,0.76,0.4,0.79,0.52,0.6055,0.6303,-0.099,0.3269,0.0,0.7692,0.5977,2,Aprovado
Karina Santos,Inglês,6º Fundamental,6,0.82,0.86,0.35,0.93,0.7455,0.6303,-0.054,0.4572,0.0,0.7692,0.596,2,Aprovado
Karina Santos,Matemática,6º Fundamental,6,0.36,0.22,0.2,0.75,0.402,0.6303,0.345,0.4419,0.0,0.7692,0.6087,0,Reprovado
Karina Santos,Português,6º Fundamental,6,0.74,0.94,0.68,0.84,0.805,0.6303,0.012,0.198,0.0,0.7692,0.6029,2,Aprovado
Karina Santos,Química,6º Fundamental,6,0.5,0.75,0.32,0.82,0.6135,0.6303,0.159,0.3991,0.0,0.7692,0.5967,2,Aprovado
Karina Santos,Sociologia,6º Fundamental,6,0.31,0.92,0.56,0.78,0.666,0.6303,0.315,0.4618,0.0,0.7692,0.6002,2,Aprovado
Karina Silva,Arte,6º Fundamental,6,0.56,0.97,0.28,0.9,0.6945,0.6416,0.099,0.554,0.0,0.5385,0.587,2,Aprovado
Karina Silva,Biologia,6º Fundamental,6,0.42,0.91,0.54,0.72,0.6625,0.6416,0.159,0.3708,0.0,0.5385,0.5936,2,Aprovado
Karina Silva,Ciências,6º Fundamental,6,0.47,0.86,0.33,0.45,0.5265,0.6416,-0.177,0.3986,0.0,0.5385,0.5889,1,Recuperação
Karina Silva,Educação Física,6º Fundamental,6,0.78,0.97,0.9,0.75,0.8485,0.6416,-0.048,0.1783,0.0,0.5385,0.6015,2,Aprovado
Karina Silva,Filosofia,6º Fundamental,6,0.36,0.87,0.25,0.69,0.559,0.6416,0.111,0.4979,0.0,0.5385,0.583,1,Recuperação
Karina Silva,Física,6º Fundamental,6,0.4,0.49,0.56,0.48,0.4865,0.6416,0.093,0.1135,0.0,0.5385,0.5865,0,Reprovado
Karina Silva,Geografia,6º Fundamental,6,0.85,0.73,0.36,0.86,0.7005,0.6416,-0.102,0.4057,0.0,0.5385,0.5968,2,Aprovado
Karina Silva,História,6º Fundamental,6,0.5,0.25,0.72,0.8,0.5825,0.6416,0.411,0.4274,0.0,0.5385,0.5977,1,Recuperação
Karina Silva,Inglês,6º Fundamental,6,0.81,0.8,0.58,0.88,0.771,0.6416,-0.003,0.2251,0.0,0.5385,0.596,2,Aprovado
Karina Silva,Matemática,6º Fundamental,6,0.9,0.76,0.92,0.7,0.81,0.6416,-0.132,0.1855,0.0,0.5385,0.6087,2,Aprovado
Karina Silva,Português,6º Fundamental,6,0.85,0.59,0.4,0.69,0.6245,0.6416,-0.201,0.3263,0.0,0.5385,0.6029,2,Aprovado
Karina Silva,Química,6º Fundamental,6,0.53,0.28,0.58,0.7,0.531,0.6416,0.243,0.3061,0.0,0.5385,0.5967,1,Recuperação
Karina Silva,Sociologia,6º Fundamental,6,0.58,0.34,0.34,0.86,0.544,0.6416,0.252,0.4285,0.0,0.5385,0.6002,1,Recuperação
Leandro Alves,Arte,6º Fundamental,6,0.63,0.98,0.73,0.68,0.7575,0.6176,-0.03,0.2693,0.0,0.5385,0.587,2,Aprovado
Leandro Alves,Biologia,6º Fundamental,6,0.97,0.83,0.52,0.59,0.7085,0.6176,-0.435,0.3623,0.0,0.5385,0.5936,2,Aprovado
Leandro Alves,Ciências,6º Fundamental,6,0.6,0.65,0.35,0.81,0.613,0.6176,0.099,0.3303,0.0,0.5385,0.5889,2,Aprovado
Leandro Alves,Educação Física,6º Fundamental,6,0.76,0.98,0.77,0.79,0.8265,0.6176,-0.036,0.1803,0.0,0.5385,0.6015,2,Aprovado
Leandro Alves,Filosofia,6º Fundamental,6,0.76,0.35,0.82,0.79,0.6815,0.6176,0.168,0.3834,0.0,0.5385,0.583,2,Aprovado
Leandro Alves,Física,6º Fundamental,6,0.82,0.37,0.3,0.47,0.4725,0.6176,-0.336,0.3997,0.0,0.5385,0.5865,0,Reprovado
Leandro Alves,Geografia,6º Fundamental,6,0.81,0.22,0.28,0.83,0.536,0.6176,0.036,0.5718,0.0,0.5385,0.5968,1,Recuperação
Leandro Alves,História,6º Fundamental,6,0.21,1.0,0.34,0.73,0.596,0.6176,0.27,0.6269,0.0,0.5385,0.5977,1,Recuperação
Leandro Alves,Inglês,6º Fundamental,6,0.98,0.79,0.34,0.61,0.6615,0.6176,-0.468,0.4718,0.0,0.5385,0.596,2,Aprovado
Leandro Alves,Matemática,6º Fundamental,6,0.25,0.71,0.66,0.38,0.5065,0.6176,0.102,0.3829,0.0,0.5385,0.6087,1,Recuperação
Leandro Alves,Português,6º Fundamental,6,0.76,0.66,0.61,0.46,0.6075,0.6176,-0.285,0.2165,0.0,0.5385,0.6029,2,Aprovado
Leandro Alves,Química,6º Fundamental,6,0.63,1.0,0.49,0.28,0.5825,0.6176,-0.468,0.5248,0.0,0.5385,0.5967,1,Recuperação
Leandro Alves,Sociologia,6º Fundamental,6,0.37,0.56,0.4,0.55,0.479,0.6176,0.114,0.1715,0.0,0.5385,0.6002,0,Reprovado
Leandro Araújo,Arte,6º Fundamental,6,0.91,0.63,0.34,0.38,0.5385,0.5805,-0.564,0.4562,0.0,0.3846,0.587,1,Recuperação
Leandro Araújo,Biologia,6º Fundamental,6,0.67,0.47,0.9,0.35,0.5815,0.5805,-0.159,0.4175,0.0,0.3846,0.5936,1,Recuperação
Leandro Araújo,Ciências,6º Fundamental,6,0.56,0.72,0.72,0.46,0.61,0.5805,-0.09,0.2216,0.0,0.3846,0.5889,2,Aprovado
Leandro Araújo,Educação Física,6º Fundamental,6,0.46,0.66,0.53,0.44,0.5215,0.5805,-0.057,0.1723,0.0,0.3846,0.6015,1,Recuperação
Leandro Araújo,Filosofia,6º Fundamental,6,0.23,0.56,0.41,0.75,0.5135,0.5805,0.423,0.3827,0.0,0.3846,0.583,1,Recuperação
Leandro Araújo,Física,6º Fundamental,6,0.29,0.26,0.74,0.25,0.383,0.5805,0.108,0.411,0.0,0.3846,0.5865,0,Reprovado
Leandro Araújo,Geografia,6º Fundamental,6,0.21,0.3,0.99,0.63,0.5535,0.5805,0.585,0.6139,0.0,0.3846,0.5968,1,Recuperação
Leandro Araújo,História,6º Fundamental,6,0.47,0.86,0.43,0.94,0.6985,0.5805,0.294,0.4544,0.0,0.3846,0.5977,2,Aprovado
